 sph_density sph_internal_energy sph_pressure sph_soundspeed eos_pressure eos_soundspeed
25 2372.782971 3580055.7923459997 5987532325.779487 5895.83482 6003957557.910175 5897.390154750732
26 9364.932071 4745213.863776 101517915926.06958 6824.127546 798447572351.8175 18686.25908757368
27 5084.563998 8872794.978146 104237196883.95512 9754.191386 104294921480.24287 9755.168074068084
28 2304.8151510000002 2566473.499457 670953517.258846 2915.480173 671367798.2340927 2915.9883483920157
29 3222.101877 3659026.376997 29065597034.006626 5292.469789 29070819651.96415 5292.820875655225
30 10031.042562999999 5766439.807378 137583832352.8675 7388.2152829999995 1001627525690.3348 19791.023952770756
31 9596.621732 5315745.846414 116348702339.19553 7069.801691 870873275725.6328 19076.155869158374
32 3435.129658 3801962.087236 32312383064.78966 5024.473082 32302354225.193382 5023.825275796295
33 10158.185274 5770797.84982 142367516548.395 7454.93645 1041499949407.249 19991.911179728402
34 3603.347637 4578851.556259 38324423426.331696 5160.303063 38308029250.58377 5159.370380091592
35 4383.1279700000005 7967139.078183 68905675093.15619 6447.605421 68916842622.77754 6447.972244512228
36 1780.464149 3477700.834825 217.08965800000001 0.001158 217.0912702679022 0.0011584606868413347
37 2426.998367 1945163.4666650002 1074369952.53554 5417.981508 1077234888.8484364 5418.208251078228
38 7966.489003 5996532.180276 71348657018.91695 6285.755607 475086946044.94415 16243.65581664649
39 4232.796001 6232896.837095 55607734581.95537 5893.705368 55598161926.13826 5893.334832093526
40 10507.709237000001 6656980.58425 167850085014.4583 7795.366648 1165409581575.3289 20545.032637055316
41 9353.596733 5041455.538854 104880990872.18425 6882.817794 797566740507.2755 18674.762088097865
42 8238.44701 7283498.414183 90831933853.27495 6680.669692 544421444981.75507 16785.77067416981
43 4101.157337 6047241.739581 52544367405.9418 5717.311597999999 52532703775.51769 5716.826280157423
44 9117.172005 5484389.210626001 102323336190.28804 6844.470584000001 740523914570.3027 18279.778088148152
45 8812.761415 5978678.022571 97634912271.8792 6771.966953 666794011397.7916 17770.452816432065
46 4524.558984 7694710.2033979995 70170063133.3424 6582.789229 70125010998.66562 6581.418677019059
47 8817.475514 5501156.916212 92823383373.43687 6681.053581 664116229408.7391 17765.407699327345
48 3577.1583259999998 6681290.454865 49687044371.942055 5804.405571 49686414136.67126 5804.3740176184665
49 3224.1584399999997 3993910.5262309997 30829894452.281982 5405.553649 30845465521.281948 5406.600045104638
50 2566.7892030000003 2819793.799621 9064427472.311544 6237.783762 9082869035.241467 6239.294795067222
51 9455.404413 5643577.592389 115468619222.70152 7059.011264 832281188360.1362 18854.17406427055
52 1601.9763699999999 4807733.239142 24970.492539 0.096925 24971.21787054803 0.09692784651568016
53 9758.684679 8087923.712587 154972180481.26306 7651.770356 941166178366.3403 19398.360407101154
54 4972.681674 10088595.253196001 104797789900.7972 9542.010597 104909238172.9558 9543.984620379948
55 4307.8207600000005 6390308.893415 57795255229.86805 6019.1244369999995 57798049277.40021 6019.227791736559
56 7089.260336 6774018.216853 53388064411.02816 5590.165376 321979946675.81055 14536.927931797607
57 4112.822402000001 6061213.124057 52776085725.57381 5730.700029 52780463507.79283 5730.881097299783
58 3778.087086 6942143.299675999 53623287280.867805 5808.741427 53614614258.609024 5808.339432792333
59 9248.105561 6211947.273875 114828855508.19008 7055.972965999999 779927544852.5247 18522.359308147297
60 3838.492562 6373041.787328 51097785574.43386 5661.348643 51099570211.71622 5661.433487514374
61 2249.69187 2178573.016927 -846841048.87958 1019.5784679999999 -848923597.1825969 1022.3537760061052
62 4338.7243579999995 8227386.986439999 69667416964.07768 6448.680079 69657519544.35268 6448.3472009175775
63 2747.7318920000002 2386686.8476130003 13094136377.552776 6189.788093 13122326502.442013 6191.924176958704
64 4659.020354 7783098.536307001 73774481922.9112 6799.615876999999 73792225996.382 6800.114505018343
65 4606.988303 7798271.868217 72671937869.62817 6723.244185 72640728647.38846 6722.339547915994
66 10314.918915 6134657.872333 153120031307.06393 7602.627568999999 1096775554020.7012 20239.649995347805
67 4654.219839 7619104.653122 72632285107.4833 6763.235973999999 72629262442.95947 6763.150788237575
68 9419.663623 5138964.99975 108227304048.86096 6938.725561 817682145046.1523 18784.48658176632
69 4149.640432 5874962.765962 52174782744.22074 5718.654635 52165276646.22106 5718.268864203835
70 3867.6225590000004 5001637.304830001 43465904147.06494 5283.582670000001 43447457851.587616 5282.644993931065
71 3500.4445619999997 4219366.606815 35278159840.363235 5106.5125100000005 35266958564.51649 5105.827268055397
72 8647.242683 6189318.607516 94369425942.38205 6719.350834000001 626417946221.7417 17492.15721331829
73 3953.922613 5583821.536978 47874663694.21068 5489.1420530000005 47865823671.788216 5488.728508550183
74 3517.231375 3995226.98875 34193622971.972126 5016.475781 34191082878.97544 5016.3156156130735
75 4211.201642 7455433.570944 62709160922.40073 6151.820225 62711772642.16367 6151.914510313458
76 10960.874123 8902098.535438001 217208595035.5373 8380.945153 1338093492923.652 21270.916798811853
77 8045.0310420000005 6382342.373035 77021975781.87656 6406.411103 494223852127.58246 16405.3066309181
78 8844.856324 5237158.971722 90777001565.33646 6640.906586 668962152544.1908 17805.2375830324
79 2445.9513309999998 1860365.7324720002 1274521432.063991 5470.3472600000005 1277764456.1113658 5470.676272715883
80 9246.071833 4717498.617787001 97469293471.76822 6754.317540000001 767160943574.8169 18482.583347864693
81 3019.99307 3885769.9255120005 26911864436.86517 5836.375589 26942278071.498867 5838.457535831303
82 2477.654837 1833627.4959490001 2104292084.003533 5570.844679 2106131112.709036 5571.024699643724
83 7845.004178 5156255.637551 60476504249.666336 6037.211439 445103606618.2672 15976.975297255534
84 8987.222547 5402515.510966 97220918752.42046 6756.664205 706666435511.312 18054.398756227532
85 3153.431446 3345133.849982 26456383946.768246 5323.120016 26470716147.756817 5324.122458716112
86 7395.194872 6562460.891084 59548342780.01747 5853.085005 370630431544.45056 15158.55396258399
87 2833.0818649999997 2882485.351142 17818239637.20291 6060.285019 17848946282.018684 6062.518489558917
88 2465.529997 1845868.5088740003 1794372980.9332411 5533.053994 1798101619.190945 5533.424025668294
89 4080.419247 6865233.497527 57122203435.56985 5899.719451 57144251656.21158 5900.609597540142
90 10340.384836 8748160.74458 187171545949.85736 8051.9001769999995 1127051017583.2175 20326.588097682255
91 1894.206757 3227812.886573 64.986191 0.000349 64.9856759295343 0.00034860321677836935
92 3497.629243 3923866.012071 33602685966.118294 5006.561898 33602792451.39596 5006.568655870246
93 5103.118458 9729402.504354 111288892585.41101 9907.858035 111224600157.23186 9906.808909430823
94 2709.671882 2110289.069735 10663841728.699982 6236.361734 10679062646.65032 6237.5343099372285
95 4317.459401 6425223.233339 58179870211.42981 6038.9889920000005 58175325365.99659 6038.821871693965
96 4836.780744 8667595.585188001 87597425147.87051 8927.716379000001 87577571055.17279 8927.320653412966
97 3991.063486 5370342.361154 47062538232.34066 5452.22561 47037243719.03347 5451.063506981424
98 7261.214203 6118929.980113 52895093473.59386 5651.467332 345128995306.83514 14861.375192763518
99 2214.315302 2282108.560388 -1151060095.753741 1195.4574289999998 -1151841199.4028566 1196.2686609166897
100 3611.699553 4551509.824274 38258159939.938034 5147.729774 38237916728.82933 5146.5813717053925
101 3797.218139 8451307.00303 62336692383.02359 6181.815452000001 62377164417.52308 6183.500005434352
102 8501.235806 5395393.883914 81812437934.26726 6477.778778 587579806101.1919 17203.01842021489
103 3061.131314 3553591.6987089994 26017918373.731144 5616.1434469999995 26050939257.15905 5618.471848950806
104 1577.91894 5227817.884563 67153.680515 0.235341 67155.28364260646 0.23534611798272023
105 2417.287393 2047037.6255470002 1237148427.104276 5194.9516810000005 1238251273.9748657 5194.441493709135
106 9105.404696 5105201.034389 97565718115.71857 6759.2013560000005 734419163139.8818 18249.956465541363
107 4430.604005 8151041.506636 71013824225.27106 6543.826589 70996241224.53123 6543.263544978617
108 4758.896132 8072656.842019 79698979269.12514 8513.521106999999 79598487290.8762 8511.322120734083
109 3211.966528 3136106.0466130003 26194073615.129 5120.717802 26207577438.363873 5121.684277858085
110 9065.847139 4961295.29464 94652943096.25224 6706.901349 723142886081.2484 18178.202194492096
111 4199.5753079999995 6032817.273678 53871585205.42777 5809.8593630000005 53867330771.37354 5809.691489502555
112 5132.007293 9059122.633527 108780059004.34612 9920.228548000001 108840844902.42624 9921.226855307874
